[t,theta1(t),theta2(t)] 
[0.9200000000000007, 0.004585981348926839, 0.1343335869729664] 
[0.9250000000000007, 0.0033963976591374527, 0.13826726095789946] 
[0.9300000000000007, 0.002240274942833127, 0.14213381991501664] 
[0.9350000000000007, 0.001119012506510725, 0.1459309671166221] 
[0.9400000000000007, 3.396128813286012e-05, 0.14965647437146323] 
[0.9450000000000007, -0.0010135766614077434, 0.15330818285647244] 
[0.9500000000000007, -0.0020223485666122643, 0.1568840037766312] 
[0.9550000000000007, -0.0029911511925054795, 0.1603819188622686] 
[0.9600000000000007, -0.00391883099406019, 0.16379998071372057] 
[0.9650000000000007, -0.004804284157780893, 0.1671363130037614] 
[0.9700000000000008, -0.005646456543594058, 0.17038911054857928] 
[0.9750000000000008, -0.006444343535387193, 0.17355663925830975] 
[0.9800000000000008, -0.007196989808651205, 0.17663723597827222] 
[0.9850000000000008, -0.007903489023716334, 0.17962930823208437] 
[0.9900000000000008, -0.008562983453037746, 0.18253133387776485] 
[0.9950000000000008, -0.009174663550889415, 0.18534186068778627] 
[1.0000000000000007, -0.009737767473671007, 0.18805950586381773] 
[1.0050000000000006, -0.01025158055882906, 0.19068295549660802] 
[1.0100000000000005, -0.01071543477014734, 0.19321096398111534] 
[1.0150000000000003, -0.0111287081168784, 0.19564235339659772] 
[1.0200000000000002, -0.011490824053875054, 0.1979760128609467] 
[1.0250000000000001, -0.01180125086954249, 0.20021089786808371] 
[1.03, -0.012059501068074251, 0.20234602961675113] 
[1.035, -0.012265130752063052, 0.2043804943385246] 
[1.0399999999999998, -0.01241773901119471, 0.20631344263235502] 
[1.0449999999999997, -0.012516967322344029, 0.20814408881242374] 
[1.0499999999999996, -0.012562498965998474, 0.209871710275566] 
[1.0549999999999995, -0.01255405846354183, 0.21149564689399025] 
[1.0599999999999994, -0.012491411039537709, 0.21301530043849756] 
[1.0649999999999993, -0.01237436211276392, 0.21443013403688654] 
[1.0699999999999992, -0.012202756819364375, 0.21573967167171984] 
[1.074999999999999, -0.011976479571106655, 0.216943497721127] 
[1.079999999999999, -0.011695453651360993, 0.21804125654582696] 
[1.0849999999999989, -0.011359640851050755, 0.21903265212507242] 
[1.0899999999999987, -0.010969041146465353, 0.21991744774374722] 
[1.0949999999999986, -0.010523692420473879, 0.2206954657323861] 
[1.0999999999999985, -0.010023670228331023, 0.2213665872614339] 
[1.1049999999999984, -0.009469087608925498, 0.22193075219061642] 
[1.1099999999999983, -0.008860094941984609, 0.22238795897385805] 
[1.1149999999999982, -0.008196879851415722, 0.22273826461974927] 
[1.119999999999998, -0.007479667154635636, 0.22298178470714] 
[1.124999999999998, -0.00670871885741108, 0.2231186934550107] 
[1.129999999999998, -0.005884334193407024, 0.22314922384535146] 
[1.1349999999999978, -0.005006849707313282, 0.22307366779735718] 
[1.1399999999999977, -0.004076639380093351, 0.22289237639082618] 
[1.1449999999999976, -0.003094114794571736, 0.22260576013622577] 
[1.1499999999999975, -0.0020597253392469076, 0.22221428928846354] 
[1.1549999999999974, -0.0009739584478860171, 0.22171849420097556] 
[1.1599999999999973, 0.00016266012787547433, 0.22111896571631198] 
[1.1649999999999971, 0.0013495660160408529, 0.22041635558896794] 
[1.169999999999997, 0.0025861558953136866, 0.21961137693577196] 
[1.174999999999997, 0.003871787143498508, 0.21870480470870862] 
[1.1799999999999968, 0.005205777467361869, 0.21769747618461524] 
[1.1849999999999967, 0.006587404518409834, 0.21659029146575884] 
[1.1899999999999966, 0.008015905499369359, 0.21538421398486982] 
[1.1949999999999965, 0.009490476766486802, 0.2140802710077863] 
[1.1999999999999964, 0.011010273433074497, 0.21267955412645123] 
[1.2049999999999963, 0.012574408980042914, 0.21118321973460746] 
[1.2099999999999962, 0.014181954879448223, 0.2095924894781578] 
[1.214999999999996, 0.01583194023735922, 0.2079086506718036] 
[1.219999999999996, 0.017523351462599524, 0.20613305667325124] 
[1.2249999999999959, 0.01925513196814637, 0.20426712720598794] 
[1.2299999999999958, 0.021026181912161247, 0.20231234862138234] 
[1.2349999999999957, 0.022835357985785447, 0.20027027409066844] 
[1.2399999999999956, 0.02468147325494968, 0.19814252371723082] 
[1.2449999999999954, 0.026563297063516428, 0.19593078455953145] 
[1.2499999999999953, 0.028479555005091098, 0.19363681055501122] 
[1.2549999999999952, 0.030428928970798186, 0.19126242233536997] 
[1.2599999999999951, 0.03241005728021668, 0.18880950692378284] 
[1.264999999999995, 0.03442153490249995, 0.18628001730485683] 
[1.269999999999995, 0.03646191377446547, 0.18367597185847195] 
[1.2749999999999948, 0.03852970322212506, 0.18099945364909464] 
[1.2799999999999947, 0.04062337049173445, 0.1782526095626977] 
[1.2849999999999946, 0.042741341395969454, 0.1754376492840762] 
[1.2899999999999945, 0.044882001080284666, 0.17255684410811142] 
[1.2949999999999944, 0.047043694913879094, 0.16961252557940576] 
[1.2999999999999943, 0.04922472950898356, 0.16660708395568827] 
[1.3049999999999942, 0.05142337387139971, 0.16354296649146757] 
